Insurance Type,Zip code,First name,Last name,Date of birth,Gender,Address,City,State,Auto insurance coverage?,Property Type,# units,# unrelated roommates,# property losses in last 3 years,Phone number,Email address,Fire Sprinkler System?,Central Fire & Burglar Alarm?,Local Fire / Smoke Alarm?,Home Security?,Non Smoking Household?,Local Burglar Alarm?,Unusual hazards?,Dogs that bite?,Run a business from home?,Start date,Personal property worth,Loss of use,Medical payments,Personal liability,Farmers Identity Protection,Deductible,Policy Price,Annual Policy Price,Agent Name,Agent Address,Agent Phone Number,Quote Number
Renters,94109,Milo,Rivas,04/05/1990,m,1100 Gough St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 334-1880,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.66,$439.88,Philippos Gratsinopoulos,"Burlingame, CA",(650) 288-5994,#83507990
Renters,94002,Joshua,Douglas,04/05/1990,f,2515 Carlmont Dr,Belmont,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 615-9200,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$29.55,$354.56,Richard Jerkovich,"Belmont, CA",(650) 638-1797,#75208747
Renters,94103,Jackson,Cohen,03/03/1988,m,1188 Mission St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(619) 463-5393,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$32.50,$390.02,Lien Tu,"San Francisco, CA",(415) 635-0993,#85963551
Renters,94545,Nora,Griffin,03/08/1990,f,25800 Industrial Blvd.,Hayward,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(866) 451-2806,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$27.70,$332.41,Elizabeth Banuelos,"Hayward, CA",(510) 581-8551,#98142342
Renters,94107,Lily,Craig,04/05/1990,f,1 St Francis Pl,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 491-1125,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$32.50,$390.02,Ward Donnelly,"San Francisco, CA",(415) 333-3640,#42044586
Renters,94105,Archer,Shaffer,12/1/1988,f,388 Beale Street,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(831) 373-1025,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$32.50,$390.02,Eric Gee,"San Francisco, CA",(415) 635-0999,#36827520
Renters,94105,Mason,Pope,04/05/1990,f,88 Howard St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(858) 693-1175,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$32.50,$390.02,Mike Wise,"San Rafael, CA",(415) 258-9912,#73514166
Renters,94105,Everly,Powers,03/08/1990,f,121 Spear St B18,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 615-9200,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$32.50,$390.02,Igor Braginsky,"Walnut Creek, CA",(925) 286-6301,#39526407
Renters,94109,Cole,Mcguire,11/18/1989,f,1609 Franklin St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(866) 671-1752,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.66,$439.88,Cindy Wong,"San Francisco, CA",(415) 387-8899,#18834214
Renters,94109,James,Paul,03/08/1990,m,1388 Sutter St 11,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(877) 268-2574,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.66,$439.88,Steven Tong,"San Francisco, CA",(415) 922-7122,#42786048
Renters,94103,Seth,Roth,07/31/1988,f,44 Gough St 202,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 924-1196,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$32.50,$390.02,Ralph Bravo,"San Mateo, CA",(650) 931-8610,#65502511
Renters,94704,Kole,Holt,04/05/1990,f,2230 Durant Ave  103,Berkeley,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 552-9443,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$40.44,$485.31,David Reidenbach,"Berkeley, CA",(510) 849-4909,#86872945
Renters,94596,Ella,Reese,11/12/1990,f,1200 Newell Hill Pl,Walnut Creek,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 733-2306,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$34.53,$414.40,Dion Light,"San Diego, CA",(858) 643-9263,#51116254
Renters,94404,Matthew,Luna,03/03/1988,m,808 Comet Dr,Foster City,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(707) 361-4060,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$29.55,$354.56,Dennis Collins,"San Mateo, CA",(650) 342-6461,#36191582
Renters,94115,Dominick,Nelson,07/31/1988,f,1475 Fillmore St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 861-9981,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.66,$439.88,Toby Lee,"San Francisco, CA",(415) 922-7121,#74932939
Renters,94510,Joseph,Lara,03/03/1988,f,801 Southampton Rd,Benicia,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(619) 610-0954,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$30.47,$365.65,Jonathan Bogard,"Pleasant Hill, CA",(925) 332-5983,#17877387
Renters,94806,Jase,Serrano,11/18/1989,f,2490 Lancaster Dr,Richmond,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 866-1005,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$30.84,$370.08,Matt Matayoshi,"Pinole, CA",(510) 741-8200,#33878256
Renters,94132,Leo,Simmons,11/18/1989,m,3711 19th Ave,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 502-5355,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.66,$439.88,Tracy Kennedy,"Woodland Hills, CA",(818) 340-0274,#73080666
Renters,94102,Wyatt,Becker,03/08/1990,m,1 Polk St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 474-5333,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.66,$439.88,Anwer Siddiqui,"San Ramon, CA",(925) 830-2772,#90853113
Renters,94123,Rhys,Crawford,05/06/1989,f,1550 Bay St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(619) 284-5285,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.66,$439.88,Samuel Tong,"San Francisco, CA",(415) 922-7122,#68238023
Renters,94109,Tessa,Long,03/03/1988,m,1560 Van Ness Ave,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 589-2909,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.66,$439.88,Eric Chu,"San Francisco, CA",(415) 668-5300,#27421100
Renters,94549,Aaron,Chandler,02/04/1989,f,949 East St,Lafayette,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 777-4100,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$34.53,$414.40,Thomas Madden,"Lafayette, CA",(925) 284-7105,#64765895
Renters,94801,Jace,Fields,11/18/1989,f,400 Harbour Way,Richmond,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(510) 540-5454,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$30.84,$370.08,Sang Rowand,"Albany, CA",(510) 526-2224,#50923675
Renters,94109,Thomas,Campbell,02/04/1989,m,888 OFarrell St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 225-8648,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.66,$439.88,Kevin Truong,"San Jose, CA",(408) 971-9174,#35228183
Renters,94043,Dillan,Perry,07/31/1988,m,555 W Middlefield Rd,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 777-4100,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$18.84,$226.04,Jason Medeiros,"Newark, CA",(925) 321-3082,#56948255
Renters,94158,Elliot,Cortez,05/06/1989,f,355 Berry St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 425-3914,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.66,$439.88,Christopher Stuhr,"Sebastopol, CA",(707) 823-1886,#07845168
Renters,94103,Sophia,Luna,06/06/1986,m,1045 Mission St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 626-6900,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$32.50,$390.02,Jeffery Sundquist,"San Jose, CA",(408) 449-4893,#60158109
Renters,94086,Natalie,Howard,04/05/1990,f,1035 Aster Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 441-7600,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$18.84,$226.04,Jyotisen Mody,"Milpitas, CA",(408) 726-5197,#53770035
Renters,94107,Madelynn,Howard,05/06/1989,m,255 King St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(877) 713-3956,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$32.50,$390.02,Virginia Tam,"Fremont, CA",(510) 683-3883,#19954414
Renters,94111,Sofia,Brewer,12/1/1988,m,460 Davis Ct,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 492-9660,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.66,$439.88,Tina Law,"San Francisco, CA",(415) 221-8484,#91936856
Renters,94501,Reece,Erickson,07/31/1988,m,550 Central Ave  301,Alameda,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(510) 886-1055,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$27.70,$332.41,Ki Yi,"Alameda, CA",(510) 337-0335,#90772866
Renters,94104,Ezra,Hayes,06/06/1986,m,690 Market St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 445-5211,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.66,$439.88,Michael Li,"San Francisco, CA",(408) 440-6497,#49970919
Renters,94108,Isaac,Hernandez,11/12/1990,m,706 Kearny St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(831) 384-7159,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.66,$439.88,Tamara Sverdlova,"San Francisco, CA",(415) 753-9193,#75378771
Renters,94066,Addyson,Juarez,11/12/1990,m,3815 Susan Dr,San Bruno,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 216-8947,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$21.61,$259.27,Miguel Gonzalez,"South San Francisco, CA",(650) 776-4891,#62194732
Renters,94549,Scarlett,Oliver,02/04/1989,m,3520 Brook St,Lafayette,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 377-2331,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$34.53,$414.40,Mark Makarov,"Lafayette, CA",(415) 710-6712,#74182842
Renters,94108,Samuel,Osborne,04/05/1990,f,47 Kearny St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(858) 565-0311,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.66,$439.88,Lena Wong,"San Bruno, CA",(650) 872-1200,#22602981
Renters,94806,Dominick,Morton,06/06/1986,m,2300 Lancaster Dr,Richmond,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 241-1445,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$30.84,$370.08,Louis Millhollin Jr,"Pinole, CA",(510) 741-9600,#24348940
Renters,94109,Jonah,Webster,06/06/1986,m,400 Hyde St  101,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 421-4333,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.66,$439.88,Jason Gee,"San Francisco, CA",(415) 566-2822,#32709809
Renters,94114,Layla,Harmon,02/04/1989,m,4058 17th St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(858) 578-1632,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$32.50,$390.02,Julie Hoang,"San Francisco, CA",(415) 466-6470,#02259658
Renters,94102,Matthew,Bridges,04/05/1990,f,835 Turk St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(760) 208-2785,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.66,$439.88,R Michael Miller,"San Rafael, CA",(415) 454-0100,#74419025
Renters,94133,Izabella,Morrison,03/27/1987,m,2211 Stockton St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 921-1969,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.66,$439.88,Pamela Spikes,"Oakland, CA",(510) 832-1005,#76354949
Renters,94115,Nicolas,Stephens,03/08/1990,f,1489 Webster St  101,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(855) 802-6683,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.66,$439.88,Justin Choy,"San Francisco, CA",(415) 566-2822,#18453258
Renters,94133,Henry,Dawson,03/08/1990,f,2140 Taylor St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 227-3700,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.66,$439.88,Peter Chen,"San Francisco, CA",(415) 742-0412,#89735868
Renters,94015,Graham,Ford,11/18/1989,f,862 Campus Dr,Daly City,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 491-1125,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$21.61,$259.27,Cristina Santos,"Daly City, CA",(650) 756-6249,#83696285
Renters,94107,Jakob,Berry,03/27/1987,f,574 3rd St 101,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 400-5295,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$32.50,$390.02,Stella Kwok,"San Francisco, CA",(415) 239-7589,#76507350
Renters,94115,Savanna,Larson,12/1/1988,f,2799 California St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 384-8887,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.66,$439.88,Dennis Dellinges,"San Francisco, CA",(415) 585-2700,#00638454
Renters,94107,Lillian,Nicholson,11/18/1989,f,2235 3rd St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 946-2955,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$32.50,$390.02,Raymond Chan,"Daly City, CA",(650) 878-8222,#34433903
Renters,94402,Evangeline,Bradley,06/06/1986,m,10 De Sabla Rd,San Mateo,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(877) 516-8284,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$29.55,$354.56,Dennis Collins,"San Mateo, CA",(650) 342-6461,#16327063
Renters,94520,Madelynn,Fowler,06/06/1986,m,1491 Detroit Ave,Concord,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(619) 561-2320,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$34.53,$414.40,Matthew Gee,"Simi Valley, CA",(805) 527-5275,#61093009
Renters,94015,William,Rhodes,11/12/1990,m,333 Park Plaza Dr,Daly City,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 996-1006,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$21.61,$259.27,Raymond Chan,"Daly City, CA",(650) 878-8222,#77277939
Renters,95035,Vivien,Powers,02/04/1989,f,440 Dixon Landing Rd,Milpitas,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(858) 693-1175,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$18.84,$226.04,Thomas Truong,"Milpitas, CA",(408) 935-8888,#14594165
Renters,95051,Carter,Alexander,04/05/1990,f,101 Saratoga Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 255-6750,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$18.84,$226.04,Sammy Lee,"San Jose, CA",(408) 247-8800,#69060089
Renters,95050,Ryder,Garza,11/12/1990,m,1599 Warburton Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(831) 240-0330,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$18.84,$226.04,Kirk Stoddard,"San Jose, CA",(408) 978-3208,#38218173
Renters,94536,Victoria,Swanson,12/1/1988,m,38660 Hastings St  109,Fremont,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 952-3727,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$27.70,$332.41,Mei Mei Chua,"Fremont, CA",(510) 962-8585,#31566253
Renters,94085,Bennett,Fletcher,11/12/1990,m,330 N Mathilda Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(866) 837-6172,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$18.84,$226.04,Mary Formico Barnard,"San Jose, CA",(408) 286-1334,#88545680
Renters,94025,Anastasia,Tate,11/12/1990,m,350 Sharon Park Dr,Menlo Park,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(619) 670-6400,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$26.96,$323.54,Lyle Althoff,"Oxnard, CA",(805) 487-5456,#28330341
Renters,94085,Grayson,Cole,03/27/1987,m,355 N Wolfe Rd,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(760) 291-8098,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$18.84,$226.04,Jeffery Sundquist,"San Jose, CA",(408) 449-4893,#49677626
Renters,94538,Cora,Christensen,03/08/1990,f,39600 Fremont Blvd,Fremont,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(707) 653-5931,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$27.70,$332.41,Vernon Williams,"Dublin, CA",(408) 931-6582,#19435045
Renters,95054,Oliver,Carlson,05/06/1989,f,1600 Nantucket Cir,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(619) 479-6565,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$18.84,$226.04,Tony Stoll,"San Jose, CA",(650) 200-5721,#28740101
Renters,94544,Jane,Flowers,06/06/1986,f,605 Orchard Ave,Hayward,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(707) 745-3000,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$27.70,$332.41,Michael Boffy,"Soquel, CA",(831) 239-4990,#97881521
Renters,95050,Dillon,Holland,05/06/1989,f,444 Saratoga Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 988-7500,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$18.84,$226.04,Bin Lu,"San Jose, CA",(408) 728-9789,#26139252
Renters,94086,Autumn,Baldwin,05/06/1989,m,201 W California Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 474-0333,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$18.84,$226.04,Reet Singh,"Concord, CA",(925) 671-0342,#83582073
Renters,94553,Tessa,Cannon,03/27/1987,m,486 Morello Ave,Martinez,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(925) 452-7910,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$34.53,$414.40,John Hannum,"Lafayette, CA",(925) 283-6440,#13138112
Renters,94544,Delilah,Pearson,05/06/1989,m,575 Berry Ave,Hayward,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 372-8336,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$27.70,$332.41,TERESA CHAN,"San Lorenzo, CA",(510) 317-7706,#84390158
Renters,95008,Chloe,Warren,11/18/1989,f,1630 W Campbell Ave,Campbell,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 599-5321,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$24.10,$289.18,Ron Allen,"San Jose, CA",(408) 369-8924,#96387269
