Insurance Type,Zip code,First name,Last name,Date of birth,Gender,Address,City,State,Auto insurance coverage?,Property Type,# units,# unrelated rooomates,# property losses in last 3 years,Phone number,Email address,Fire Sprinkler System?,Central Fire & Burglar Alarm?,Local Fire / Smoke Alarm?,Home Security?,Non Smoking Household?,Local Burglar Alarm?,Unusual hazards?,Dogs that bite?,Run a business from home?,Start date,Personal property worth,Loss of use,Medical payments,Personal liability,Farmers Identity Protection,Deductible
Renters,94114,Evangeline,Warner,11/12/1990,f,4058 17th St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 618-0044,greyson.wright@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,300000,N,100 / 250
Renters,94544,Aron,Fischer,12/1/1988,f,605 Orchard Ave,Hayward,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 586-8940,logan.joseph@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,300000,N,250
Renters,94553,Isaac,Underwood,11/18/1989,f,486 Morello Ave,Martinez,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(603) 571-6274,brielle.miller@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,300000,N,500
Renters,94109,Luna,Foster,11/12/1990,m,1388 Sutter St 11,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(831) 469-3620,greyson.wright@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,300000,N,750
Renters,94080,Emmett,Chambers,07/31/1988,f,852 Antoinette Ln,South San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(925) 284-2586,aurora.hopkins@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,300000,N,1000
Renters,94553,Silas,Brown,12/1/1988,f,486 Morello Ave,Martinez,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 445-6530,caleb.drake@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,300000,N,1500
Renters,94109,Jane,Rose,03/03/1988,f,952 Sutter St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(925) 284-1915,annabelle@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,300000,N,2500
Renters,94105,Vivien,Mclaughlin,06/06/1986,m,680 Mission St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(510) 215-2850,brielle.miller@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,300000,N,5000
Renters,94404,Eva,Carroll,03/03/1988,m,700 Marlin Ave,Foster City,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(707) 644-3322,brielle.miller@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,500000,N,100
Renters,94803,Aden,Wilkins,07/31/1988,m,3535 El Portal Dr,El Sobrante,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(707) 538-1516,annabelle@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,500000,N,100 / 250
Renters,94114,Nora,Howell,07/31/1988,f,3904 17th St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(858) 457-5161,brielle.miller@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,500000,N,250
Renters,94015,Anabel,Taylor,05/06/1989,f,333 Park Plaza Dr,Daly City,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(855) 365-1913,greyson.wright@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,500000,N,500
Renters,94304,Asher,Campbell,02/04/1989,m,1600 Sand Hill Rd,Palo Alto,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 216-8945,greyson.wright@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,500000,N,750
Renters,94123,Audrey,Doyle,04/05/1990,f,1550 Bay St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 733-4733,aria.dennis@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,500000,N,1000
Renters,94085,Abigail,Riley,07/31/1988,m,330 N Mathilda Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 440-7285,arabella@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,500000,N,1500
Renters,94132,Vivian,Thomas,07/31/1988,m,2633 Ocean Ave,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(877) 713-4583,greyson.wright@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,500000,N,2500
Renters,94545,Mila,Cross,03/27/1987,m,25800 Industrial Blvd.,Hayward,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 334-2698,arabella@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,500000,N,5000
Renters,94108,Nora,French,11/12/1990,m,706 Kearny St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(707) 644-3322,annabelle@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,100000,N,100
Renters,94104,Eli,Bailey,12/1/1988,f,690 Market St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(707) 766-6881,caleb.drake@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,100000,N,100 / 250
Renters,94015,Graeme,Calderon,03/03/1988,m,333 Park Plaza Dr,Daly City,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 931-6300,joshua@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,100000,N,250
Renters,94108,Zackery,Moran,04/05/1990,f,47 Kearny St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 885-3333,caleb.drake@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,100000,N,500
Renters,95051,Conor,Ray,02/04/1989,m,101 Saratoga Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(866) 251-7152,arabella@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,100000,N,750
Renters,95050,Evangeline,Norman,11/12/1990,f,444 Saratoga Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(888) 270-6855,aurora.hopkins@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,100000,N,1000
Renters,94115,Easton,Watts,02/04/1989,f,2799 California St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(858) 587-9997,logan.joseph@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,100000,N,1500
Renters,94132,Vivien,Baldwin,12/1/1988,m,3711 19th Ave,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 377-2331,greyson.wright@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,100000,N,2500
Renters,94538,Everly,Matthews,03/03/1988,f,39600 Fremont Blvd,Fremont,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 570-5040,gabriella@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,100000,N,5000
Renters,94086,Tessa,Pacheco,03/03/1988,f,1035 Aster Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 445-5211,caleb.drake@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,300000,N,100
Renters,94109,Jane,Marsh,03/08/1990,f,400 Hyde St  101,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 981-5780,logan.joseph@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,300000,N,100 / 250
Renters,94109,Nathan,Mccormick,11/12/1990,f,1560 Van Ness Ave,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 923-6900,aria.dennis@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,300000,N,250
Renters,94403,Sawyer,Parker,06/06/1986,m,3055 La Selva,San Mateo,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(831) 240-0330,aurora.hopkins@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,300000,N,500
Renters,94105,Ella,Hale,06/06/1986,f,88 Howard St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 295-1360,brielle.miller@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,300000,N,750
Renters,94549,Finn,Mullins,11/18/1989,f,3520 Brook St,Lafayette,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(510) 865-2875,brielle.miller@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,300000,N,1000
Renters,94115,Emilia,Washington,05/06/1989,m,1475 Fillmore St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(831) 427-1991,aria.dennis@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,300000,N,1500
Renters,94080,Milo,Colon,12/1/1988,m,101 McLellan Drive,South San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 885-3333,aria.dennis@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,300000,N,2500
Renters,94501,Ethan,Hodges,11/18/1989,f,550 Central Ave  301,Alameda,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(855) 646-0468,greyson.wright@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,300000,N,5000
Renters,95051,Zackery,Carroll,04/05/1990,m,101 Saratoga Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 733-4733,aria.dennis@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,500000,N,100
Renters,94404,Dillon,Roberson,11/12/1990,f,900 E Hillsdale Blvd,Foster City,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 664-2822,aurora.hopkins@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,500000,N,100 / 250
Renters,94105,Abigail,Bennett,03/08/1990,m,680 Mission St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(619) 463-5393,caleb.drake@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,500000,N,250
Renters,94015,Zoey,Santos,06/06/1986,m,862 Campus Dr,Daly City,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 255-2288,greyson.wright@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,500000,N,500
Renters,94086,Daphne,Watkins,05/06/1989,m,1035 Aster Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(831) 585-1628,gabriella@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,500000,N,750
Renters,94133,Gavin,Watkins,02/04/1989,f,2140 Taylor St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 777-4850,greyson.wright@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,500000,N,1000
Renters,94404,Vivienne,Maldonado,11/12/1990,f,900 E Hillsdale Blvd,Foster City,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 781-9000,gabriella@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,500000,N,1500
Renters,94112,Rose,Weber,03/08/1990,m,1200 Ocean Ave,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 861-9981,aria.dennis@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,500000,N,2500
Renters,94044,Max,Sandoval,05/06/1989,f,380 Esplanade Ave,Pacifica,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 440-0550,annabelle@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,2000,500000,N,5000
Renters,94115,Benjamin,Armstrong,05/06/1989,m,1475 Fillmore St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 487-1218,logan.joseph@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,100000,N,100
Renters,94085,Autumn,Frazier,03/27/1987,m,355 N Wolfe Rd,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 861-3333,brielle.miller@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,100000,N,100 / 250
Renters,94102,Parker,Mack,12/1/1988,f,835 Turk St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(858) 693-1175,joshua@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,100000,N,250
Renters,94158,Hannah,Dawson,05/06/1989,m,355 Berry St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 756-4588,brielle.miller@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,100000,N,500
Renters,94105,Savanna,Garner,11/12/1990,f,680 Mission St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 266-1474,arabella@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,100000,N,750
Renters,94803,Ruby,Day,11/18/1989,m,3535 El Portal Dr,El Sobrante,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 474-5494,joshua@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,100000,N,1000
Renters,94109,Anna,Ward,06/06/1986,f,400 Hyde St  101,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(707) 781-1993,joshua@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,100000,N,1500
Renters,94104,Evan,Carson,11/18/1989,m,690 Market St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(707) 645-8888,arabella@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,100000,N,2500
Renters,94086,Lila,Casey,02/04/1989,f,201 W California Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 492-2180,arabella@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,100000,N,5000
Renters,94404,Oliver,Whitaker,12/1/1988,m,700 Marlin Ave,Foster City,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(877) 713-3968,gabriella@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,300000,N,100
Renters,94133,Emily,Lopez,03/08/1990,f,2211 Stockton St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 842-4457,aria.dennis@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,300000,N,100 / 250
Renters,95014,Sofia,Conley,12/1/1988,f,20800 Homestead Rd,Cupertino,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(510) 352-5900,greyson.wright@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,300000,N,250
Renters,94544,Aiden,Turner,04/05/1990,m,605 Orchard Ave,Hayward,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 688-2085,aurora.hopkins@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,300000,N,500
Renters,94510,Eleanor,Serrano,12/1/1988,f,801 Southampton Rd,Benicia,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(510) 793-2535,aria.dennis@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,300000,N,750
Renters,94109,Willow,Mills,11/18/1989,m,1388 Sutter St 11,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 647-5909,arabella@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,300000,N,1000
Renters,94066,Elliot,Thornton,12/1/1988,m,3815 Susan Dr,San Bruno,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 749-0101,logan.joseph@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,300000,N,1500
Renters,94402,David,Monroe,03/08/1990,m,10 De Sabla Rd,San Mateo,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 297-4675,joshua@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,300000,N,2500
Renters,94501,Hunter,Daniels,03/08/1990,f,564 Central Ave,Alameda,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 264-9696,logan.joseph@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,300000,N,5000
Renters,95008,David,Willis,03/08/1990,f,1630 W Campbell Ave,Campbell,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 732-9450,greyson.wright@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,500000,N,100
Renters,94117,Gideon,Dunn,03/08/1990,m,783 Buena Vista Ave W,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(619) 443-1720,annabelle@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,500000,N,100 / 250
Renters,94104,Gemma,Fuller,06/06/1986,m,690 Market St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 512-2708,caleb.drake@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,500000,N,250
Renters,94105,Josephine,Skinner,03/08/1990,f,388 Beale Street,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 549-1209,gabriella@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,500000,N,500
Renters,94108,Henry,Hogan,07/31/1988,f,47 Kearny St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 378-7188,logan.joseph@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,500000,N,750
Renters,94553,Kole,Logan,06/06/1986,m,900 Roanoke Dr,Martinez,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 345-1970,brielle.miller@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,500000,N,1000
Renters,94107,Sophia,Hamilton,07/31/1988,m,3 Bayside Village Pl,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 736-8658,logan.joseph@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,500000,N,1500
Renters,94132,Sienna,Hopkins,11/18/1989,m,3711 19th Ave,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(707) 361-4060,greyson.wright@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,500000,N,2500
Renters,94087,Lucas,Pham,04/05/1990,f,1032 W Remington Dr,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 586-9001,arabella@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,1000,500000,N,5000
Renters,94002,Landon,Pope,03/27/1987,f,2515 Carlmont Dr,Belmont,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 991-0777,greyson.wright@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,2000,100000,N,100
Renters,94132,Max,Dawson,07/31/1988,m,3711 19th Ave,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 883-9600,arabella@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,2000,100000,N,100 / 250
Renters,94402,Dominick,Dixon,12/1/1988,m,10 De Sabla Rd,San Mateo,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 589-2909,brielle.miller@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,2000,100000,N,250
Renters,95014,Ronan,Kramer,11/12/1990,f,5608 Stevens Creek Blvd,Cupertino,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 981-5780,logan.joseph@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,2000,100000,N,500
Renters,94553,Savannah,Butler,03/27/1987,f,486 Morello Ave,Martinez,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 580-6272,arabella@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,2000,100000,N,750
Renters,94109,Greyson,Barnett,06/06/1986,m,1609 Franklin St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(925) 943-7977,gabriella@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,2000,100000,N,1000
Renters,94549,Madelyn,Cervantes,12/1/1988,m,1076 Carol Ln,Lafayette,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 755-8133,aurora.hopkins@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,2000,100000,N,1500
Renters,94117,Vivienne,Joseph,05/06/1989,f,783 Buena Vista Ave W,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(707) 538-1516,brielle.miller@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,2000,100000,N,2500
Renters,94044,Jonah,Ryan,05/06/1989,f,380 Esplanade Ave,Pacifica,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(858) 571-0104,caleb.drake@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,2000,100000,N,5000
Renters,94109,Leo,Curry,03/03/1988,m,952 Sutter St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(855) 641-0159,logan.joseph@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,2000,300000,N,100
Renters,94108,Jude,Moss,02/04/1989,m,47 Kearny St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 777-4100,caleb.drake@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,2000,300000,N,100 / 250
Renters,94111,Holden,Bass,04/05/1990,f,460 Davis Ct,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 565-9960,annabelle@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,2000,300000,N,250
Renters,94015,Isla,Wood,11/12/1990,f,862 Campus Dr,Daly City,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 354-7317,gabriella@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,2000,300000,N,500
Renters,94014,Zachary,Barrett,11/12/1990,f,415 A St 101,Daly City,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(866) 678-3468,aurora.hopkins@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,2000,300000,N,750
Renters,94596,Mila,May,02/04/1989,m,1200 Newell Hill Pl,Walnut Creek,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 755-3872,joshua@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,8000,Keep default,2000,300000,N,1000
