Insurance Type,Zip code,First name,Last name,Date of birth,Gender,Address,City,State,Auto insurance coverage?,Property Type,# units,# unrelated roommates,# property losses in last 3 years,Phone number,Email address,Fire Sprinkler System?,Central Fire & Burglar Alarm?,Local Fire / Smoke Alarm?,Home Security?,Non Smoking Household?,Local Burglar Alarm?,Unusual hazards?,Dogs that bite?,Run a business from home?,Start date,Personal property worth,Loss of use,Medical payments,Personal liability,Farmers Identity Protection,Deductible,Policy number,Timestamp (seconds),Policy price,Name of agent,Address of agent
Renters,94086,Wyatt,Singh,05/06/1989,f,180 Pasito Terrace,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,1,(619) 233-4787,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,5678,Tues,36.70,Martha Ag,Cupertino
Renters,95125,Graham,Anderson,07/31/1988,m,3200 Rubino Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,2,(877) 396-9296,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,1234,Tues,43.10,John Ag,Cupertino
Renters,94087,Lucas,Meyer,11/18/1989,m,575 E Remington Dr,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,2,(408) 437-1900,sophie.garner@hotmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,91011,Tues,15.74,Patricia Ag,Mtv
Renters,95125,Hadley,Massey,11/18/1989,m,1776 Almaden Rd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,2,(650) 288-4227,sophie.garner@hotmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,91011,Tues,39.18,Patricia Ag,Redwood City
Renters,95037,Eliot,Maldonado,11/18/1989,m,15400 Vineyard Blvd,Morgan Hill,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,2,(408) 946-2955,sophie.garner@hotmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,5678,Mon,15.21,John Ag,Cupertino
Renters,95051,Quinn,Frank,03/08/1990,f,101 Saratoga Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,2,(650) 352-3601,nicholas.watkins@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,1234,Sat,36.70,Patricia Ag,Cupertino
Renters,94040,Eleanor,Black,06/06/1986,f,1200 Dale Ave,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,2,(415) 957-5887,amelia@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,91011,Mon,27.72,Martha Ag,Redwood City
Renters,95128,Madeline,Turner,07/31/1988,f,500 S Winchester Blvd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,3,(619) 233-4787,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,91011,Tues,38.05,John Ag,Redwood City
Renters,94040,Sadie,Carey,02/04/1989,m,575 S Rengstorff Ave,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,3,(650) 557-4116,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,5678,Sat,30.41,Patricia Ag,Redwood City
Renters,95128,Dominick,Ferguson,12/1/1988,m,500 S Winchester Blvd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,3,(415) 978-9619,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,5678,Mon,26.00,Patricia Ag,Cupertino
Renters,94040,Josiah,Chan,04/05/1990,m,575 S Rengstorff Ave,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,3,(619) 280-4988,jonah.bauer@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,1234,Tues,32.04,John Ag,Mtv
Renters,95014,Nolan,Webb,03/03/1988,m,5608 Stevens Creek Blvd,Cupertino,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,3,(650) 389-9367,nicholas.watkins@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,91011,Tues,23.91,John Ag,Cupertino
Renters,95037,Jonah,Conner,05/06/1989,f,16945 Del Monte Ave,Morgan Hill,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,3,(415) 861-3333,amelia@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,91011,Mon,19.97,John Ag,Cupertino
Renters,95112,Ruby,Rose,12/1/1988,m,1700 N 1st St,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,4,(408) 271-2600,elise.parks@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,5678,Mon,17.71,Martha Ag,Cupertino
Renters,95037,Evan,Ruiz,06/06/1986,m,15400 Vineyard Blvd,Morgan Hill,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,4,(619) 561-2320,elise.parks@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,5678,Tues,43.47,John Ag,Mtv
Renters,95134,Atticus,Kim,03/08/1990,f,345 Village Center Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,4,(858) 453-7368,luke.harrington@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,91011,Mon,41.58,John Ag,Redwood City
Renters,94040,Savannah,Ruiz,11/18/1989,f,1200 Dale Ave,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,4,(408) 225-8648,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,91011,Tues,23.91,Patricia Ag,Redwood City
Renters,95014,Jacob,Sherman,04/05/1990,m,20800 Homestead Rd,Cupertino,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,4,(415) 749-0101,jonah.bauer@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,91011,Sat,19.82,Martha Ag,Cupertino
Renters,94043,Adelaide,Holloway,03/08/1990,f,555 W Middlefield Rd,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,4,(510) 540-5454,sophie.garner@hotmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,5678,Sat,15.21,John Ag,Mtv
Renters,94087,Sofie,Elliott,07/31/1988,m,1575 Tenaka Pl,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,5 or more,(408) 549-1209,sophie.garner@hotmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,1234,Mon,38.05,Martha Ag,Cupertino
Renters,95035,Bennett,Turner,11/18/1989,m,555 S Park Victoria Dr,Milpitas,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,5 or more,(415) 781-9000,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,1234,Mon,40.54,Patricia Ag,Redwood City
Renters,94041,Daphne,Morris,05/06/1989,m,1600 Villa St,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,5 or more,(866) 835-1449,sophie.garner@hotmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,91011,Tues,29.72,Martha Ag,Redwood City
Renters,94043,Audrey,Graham,03/08/1990,m,100 N Whisman Rd,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,5 or more,(408) 842-4457,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,1234,Sat,21.38,Patricia Ag,Cupertino
Renters,95050,Nicolas,Carson,07/31/1988,m,444 Saratoga Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,5 or more,(510) 223-2000,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,1234,Sat,18.61,Patricia Ag,Redwood City
Renters,95125,Abigail,Gordon,05/06/1989,m,3200 Rubino Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,5 or more,(858) 693-1175,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,Y,100,5678,Sat,18.61,Patricia Ag,Mtv
